GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TimelessOdyssey,timelessodyssey.model.game.elements.player,FallingState,0,84,0,8,0,16,0,9,0,5
TimelessOdyssey,timelessodyssey.model.game.elements.player,WalkingState,30,94,5,7,5,19,3,8,0,5
TimelessOdyssey,timelessodyssey.model.game.elements.player,DeadState,12,92,0,6,2,19,2,8,2,5
TimelessOdyssey,timelessodyssey.model.game.elements.player,JumpingState,0,93,0,8,0,17,0,9,0,5
TimelessOdyssey,timelessodyssey.model.game.elements.player,IdleState,2,108,1,9,1,21,1,9,0,5
TimelessOdyssey,timelessodyssey.model.game.elements.player,RunningState,16,94,3,7,3,19,2,8,0,5
TimelessOdyssey,timelessodyssey.model.game.elements.player,Player,34,177,2,0,7,48,7,25,6,25
TimelessOdyssey,timelessodyssey.model.game.elements.player,PlayerState,33,238,5,19,5,32,5,15,0,8
TimelessOdyssey,timelessodyssey.model.game.elements.player,AfterDashState,0,61,0,4,0,13,0,7,0,5
TimelessOdyssey,timelessodyssey.model.game.elements.player,DashingState,0,66,0,4,0,13,0,7,0,5
TimelessOdyssey,timelessodyssey.control.game,SceneController,8,82,0,6,1,18,0,5,0,2
TimelessOdyssey,timelessodyssey.control.game,PlayerController,0,76,1,6,0,23,1,6,0,2
TimelessOdyssey,timelessodyssey.control.game,ParticleController,0,47,0,4,0,7,0,4,0,2
TimelessOdyssey,timelessodyssey.model.credits,Credits,0,94,0,0,0,28,0,10,0,10
TimelessOdyssey,timelessodyssey.view,Sprite,73,15,6,0,13,4,7,1,4,1
TimelessOdyssey,timelessodyssey.view,ViewerProvider,0,74,0,0,0,18,0,9,0,9
TimelessOdyssey,timelessodyssey.view,GameSpriteLoader,0,28,0,2,0,6,0,3,0,2
TimelessOdyssey,timelessodyssey.control.credits,CreditsController,0,18,0,2,0,5,0,3,0,2
TimelessOdyssey,timelessodyssey.model,Vector,0,9,0,0,0,1,0,1,0,1
TimelessOdyssey,timelessodyssey,Game,70,83,4,0,22,17,6,5,4,5
TimelessOdyssey,timelessodyssey.view.text,GameTextViewer,116,68,10,4,23,13,12,4,7,2
TimelessOdyssey,timelessodyssey.view.text,CharPosition,0,9,0,0,0,1,0,1,0,1
TimelessOdyssey,timelessodyssey.model.game.elements.particles,Snow,0,64,0,0,0,7,0,3,0,3
TimelessOdyssey,timelessodyssey.model.game.elements.particles,DeathParticle,0,36,0,0,0,5,0,2,0,2
TimelessOdyssey,timelessodyssey.model.game.elements.particles,Particle,0,23,0,0,0,8,0,4,0,4
TimelessOdyssey,timelessodyssey.control.menu,EntryController,4,139,10,18,1,29,10,10,0,4
TimelessOdyssey,timelessodyssey.control.menu,MainMenuController,0,9,0,0,0,4,0,2,0,2
TimelessOdyssey,timelessodyssey.control.menu,MenuController,26,7,4,0,9,3,4,1,1,1
TimelessOdyssey,timelessodyssey.control.menu,SettingsMenuController,0,16,0,0,0,4,0,2,0,2
TimelessOdyssey,timelessodyssey.control,Controller,0,9,0,0,0,4,0,2,0,2
TimelessOdyssey,timelessodyssey.sound,SoundLoader,6,8,0,0,2,3,0,2,0,2
TimelessOdyssey,timelessodyssey.sound,BackgroundSoundPlayer,20,9,0,0,8,4,3,2,3,2
TimelessOdyssey,timelessodyssey.view.screens,ScreenViewer,61,6,0,0,7,3,2,1,2,1
TimelessOdyssey,timelessodyssey.view.screens,MenuViewer,49,41,4,0,9,8,4,2,2,2
TimelessOdyssey,timelessodyssey.view.screens,CreditsViewer,234,62,4,0,38,11,8,2,6,2
TimelessOdyssey,timelessodyssey.view.screens,GameViewer,149,32,8,0,21,8,8,2,4,2
TimelessOdyssey,timelessodyssey.states,GameState,2,32,0,0,1,4,1,3,1,3
TimelessOdyssey,timelessodyssey.states,SettingsMenuState,2,26,0,0,1,4,1,3,1,3
TimelessOdyssey,timelessodyssey.states,CreditsState,2,20,0,0,1,4,1,3,1,3
TimelessOdyssey,timelessodyssey.states,State,19,21,0,0,5,6,1,2,1,2
TimelessOdyssey,timelessodyssey.states,MainMenuState,2,26,0,0,1,4,1,3,1,3
TimelessOdyssey,timelessodyssey.model.menu,SettingsMenu,0,21,0,0,0,4,0,2,0,2
TimelessOdyssey,timelessodyssey.model.menu,MainMenu,0,40,0,0,0,5,0,2,0,2
TimelessOdyssey,timelessodyssey.model.menu,Entry.Type,0,33,0,0,0,1,0,1,0,1
TimelessOdyssey,timelessodyssey.model.menu,Menu,0,55,0,0,0,13,0,6,0,6
TimelessOdyssey,timelessodyssey.model.menu,Entry,0,21,0,0,0,6,0,3,0,3
TimelessOdyssey,timelessodyssey.gui,LanternaGUI,97,88,18,1,33,25,22,7,9,7
TimelessOdyssey,timelessodyssey.gui,LanternaGUI.new KeyAdapter() {...},50,6,8,0,8,1,6,1,2,1
TimelessOdyssey,timelessodyssey.gui,GUI.Action,0,57,0,0,0,1,0,1,0,1
TimelessOdyssey,timelessodyssey.gui,LanternaScreenCreator,0,127,0,2,0,28,0,8,0,7
TimelessOdyssey,timelessodyssey.gui,ResizableGUI.Resolution,0,52,0,0,0,11,0,4,0,4
TimelessOdyssey,timelessodyssey.view.elements,TileViewer,18,413,0,0,3,48,1,1,1,1
TimelessOdyssey,timelessodyssey.view.elements,ParticleViewer,15,3,0,0,2,1,1,1,1,1
TimelessOdyssey,timelessodyssey.view.elements,PlayerViewer,51,260,6,0,7,29,5,1,2,1
TimelessOdyssey,timelessodyssey.view.elements,StarViewer,11,8,0,0,2,3,1,1,1,1
TimelessOdyssey,timelessodyssey.view.elements,SpikeViewer,18,35,0,0,3,6,1,1,1,1
TimelessOdyssey,timelessodyssey.view.menu,LogoViewer,9,8,0,0,2,3,1,1,1,1
TimelessOdyssey,timelessodyssey.view.menu,EntryViewer,77,6,9,0,15,3,8,1,2,1
TimelessOdyssey,timelessodyssey.model.game.scene,SceneBuilder,5,622,1,45,1,96,1,35,0,13
TimelessOdyssey,timelessodyssey.model.game.scene,Scene,176,342,13,17,17,68,17,33,8,27
TimelessOdyssey,timelessodyssey.model.game.elements,Tile,0,13,0,0,0,4,0,2,0,2
TimelessOdyssey,timelessodyssey.model.game.elements,Element,0,17,0,0,0,6,0,3,0,3
TimelessOdyssey,timelessodyssey.model.game.elements,Star,0,7,0,0,0,1,0,1,0,1
TimelessOdyssey,timelessodyssey.model.game.elements,Spike,0,13,0,0,0,4,0,2,0,2
